cohort,cohort_role,evaluation_group,experiment,feature_set,model_family,is_primary_experiment,n_features,auc_roc,auc_pr,accuracy,sensitivity,specificity,mcc,precision_at_0_5,recall_at_0_5,tp,fp,fn,tn,n_variants
clinvar_expert_external_validation_brca1,external_test,BRCA1,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0,83,0.9222758990874933,0.8639601935165352,0.8333333333333334,0.6666666666666666,0.9185185185185185,0.6170049627462652,0.8070175438596491,0.6666666666666666,46,11,23,124,204
clinvar_expert_external_validation_brca1,external_test,BRCA1,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,0.777133655394525,0.6709508256664461,0.6813725490196079,0.782608695652174,0.6296296296296297,0.39014237651170935,0.5192307692307693,0.782608695652174,54,50,15,85,204
clinvar_expert_external_validation_brca1,external_test,BRCA1,consensus_top3,consensus,ensemble_mean,0,3,0.7619967793880837,0.6575999570435216,0.6666666666666666,0.7681159420289855,0.6148148148148148,0.36249284010932925,0.5047619047619047,0.7681159420289855,53,52,16,83,204
clinvar_expert_external_validation_brca1,external_test,BRCA1,hybrid__logistic_regression,hybrid,logistic_regression,0,72,0.753623188405797,0.6495695399548338,0.6470588235294118,0.7681159420289855,0.5851851851851851,0.3350899487423118,0.48623853211009177,0.7681159420289855,53,56,16,79,204
clinvar_expert_external_validation_brca1,external_test,BRCA1,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,0.753623188405797,0.6495695399548338,0.6470588235294118,0.7681159420289855,0.5851851851851851,0.3350899487423118,0.48623853211009177,0.7681159420289855,53,56,16,79,204
clinvar_expert_external_validation_brca1,external_test,BRCA1,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0,78,0.753623188405797,0.6495695399548338,0.6470588235294118,0.7681159420289855,0.5851851851851851,0.3350899487423118,0.48623853211009177,0.7681159420289855,53,56,16,79,204
clinvar_expert_external_validation_brca1,external_test,BRCA1,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0,28,0.7524422973698336,0.666611669120838,0.6323529411764706,0.7681159420289855,0.562962962962963,0.314789338355404,0.4732142857142857,0.7681159420289855,53,59,16,76,204
clinvar_expert_external_validation_brca1,external_test,BRCA1,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,0.7419216317767042,0.5879490534893914,0.6323529411764706,0.18840579710144928,0.8592592592592593,0.06200865735715771,0.40625,0.18840579710144928,13,19,56,116,204
clinvar_expert_external_validation_brca1,external_test,BRCA1,prime_only__logistic_regression,prime_only,logistic_regression,0,46,0.6842726784755769,0.5632985982509401,0.6421568627450981,0.6231884057971014,0.6518518518518519,0.26206801270714214,0.4777777777777778,0.6231884057971014,43,47,26,88,204
clinvar_expert_external_validation_brca1,external_test,combined,gene_balanced_specialist,gene_balanced_specialist,gene_specialist,0,83,0.9222758990874933,0.8639601935165352,0.8333333333333334,0.6666666666666666,0.9185185185185185,0.6170049627462652,0.8070175438596491,0.6666666666666666,46,11,23,124,204
clinvar_expert_external_validation_brca1,external_test,combined,hybrid_plus_external__logistic_regression,hybrid_plus_external,logistic_regression,0,83,0.777133655394525,0.6709508256664461,0.6813725490196079,0.782608695652174,0.6296296296296297,0.39014237651170935,0.5192307692307693,0.782608695652174,54,50,15,85,204
clinvar_expert_external_validation_brca1,external_test,combined,consensus_top3,consensus,ensemble_mean,0,3,0.7619967793880837,0.6575999570435216,0.6666666666666666,0.7681159420289855,0.6148148148148148,0.36249284010932925,0.5047619047619047,0.7681159420289855,53,52,16,83,204
clinvar_expert_external_validation_brca1,external_test,combined,hybrid__logistic_regression,hybrid,logistic_regression,0,72,0.753623188405797,0.6495695399548338,0.6470588235294118,0.7681159420289855,0.5851851851851851,0.3350899487423118,0.48623853211009177,0.7681159420289855,53,56,16,79,204
clinvar_expert_external_validation_brca1,external_test,combined,hybrid_plus_conservation__logistic_regression,hybrid_plus_conservation,logistic_regression,0,73,0.753623188405797,0.6495695399548338,0.6470588235294118,0.7681159420289855,0.5851851851851851,0.3350899487423118,0.48623853211009177,0.7681159420289855,53,56,16,79,204
clinvar_expert_external_validation_brca1,external_test,combined,hybrid_plus_conservation_structure__logistic_regression,hybrid_plus_conservation_structure,logistic_regression,0,78,0.753623188405797,0.6495695399548338,0.6470588235294118,0.7681159420289855,0.5851851851851851,0.3350899487423118,0.48623853211009177,0.7681159420289855,53,56,16,79,204
clinvar_expert_external_validation_brca1,external_test,combined,biochemical_only__logistic_regression,biochemical_only,logistic_regression,0,28,0.7524422973698336,0.666611669120838,0.6323529411764706,0.7681159420289855,0.562962962962963,0.314789338355404,0.4732142857142857,0.7681159420289855,53,59,16,76,204
clinvar_expert_external_validation_brca1,external_test,combined,external_predictors_only__logistic_regression,external_predictors_only,logistic_regression,0,5,0.7419216317767042,0.5879490534893914,0.6323529411764706,0.18840579710144928,0.8592592592592593,0.06200865735715771,0.40625,0.18840579710144928,13,19,56,116,204
clinvar_expert_external_validation_brca1,external_test,combined,prime_only__logistic_regression,prime_only,logistic_regression,0,46,0.6842726784755769,0.5632985982509401,0.6421568627450981,0.6231884057971014,0.6518518518518519,0.26206801270714214,0.4777777777777778,0.6231884057971014,43,47,26,88,204
